"X","id","username","location","userop","quote","rating","date","reviewnospace","page","titleopinion","SentimentValue","SentimentCore","pos","neg"
14,"rn463193358","ohlnielsen","Copenhagen, Denmark","130 reviews","Well worth the trip from Barcelona",5,"2017-02-27","It is a great demonstration of Dali's unique art and business talent, and showcases his diverse production, with many well-known examples of his style. It is more than just a building full of paintings, as the building itself has been designed/transformed by Dali and the museum to a large extent expresses his ideas. In multiple ways the building is integrated with the art. It was a pleasant surprise to tour the museum, especially when compared to the rather meager Dali exhibition across the Barcelona Cathedral. There are many hours to spend here, I would probably come back if I was near Figueres again.",2,"Well worth the trip from Barcelona. It is a great demonstration of Dali's unique art and business talent, and showcases his diverse production, with many well-known examples of his style. It is more than just a building full of paintings, as the building itself has been designed/transformed by Dali and the museum to a large extent expresses his ideas. In multiple ways the building is integrated with the art. It was a pleasant surprise to tour the museum, especially when compared to the rather meager Dali exhibition across the Barcelona Cathedral. There are many hours to spend here, I would probably come back if I was near Figueres again.","positive","positive",5,2
15,"rn462993252","Westchesternyed","","32 reviews","True Genius",5,"2017-02-26","Dali was a genius in his own right and the things you see here prove that. Make sure you get to the fourth floor as a lot of tour guides like to avoid taking you there because they are being politically correct. Give yourself time to see the jewelry collection of you can. Try and spend the day here and stop on Girona.",2,"True Genius. Dali was a genius in his own right and the things you see here prove that. Make sure you get to the fourth floor as a lot of tour guides like to avoid taking you there because they are being politically correct. Give yourself time to see the jewelry collection of you can. Try and spend the day here and stop on Girona.","positive","neutral",2,2
16,"rn460536290","wacotom","Leander, Texas","580 reviews","Wow what a great place to visit",5,"2017-02-16","This was a great place to visit. I was going to say museum but this is a sensory overload. I just loved wandering from room to room. Be sure to take time and get the full impact of the artwork and the visual illusions presented. This is the kind of place that you just have to stroll thru and maybe backtrack once or twice to be sure you see it all. If you have to skip anything skip the jewels but if at all possible see it also. It was so nice we were going to catch a train late that day back to Barcelona so we took our luggage to the Dali Theater and they nicely had a large check room. Also check out the church outside the front entrance to the museum.",2,"Wow what a great place to visit. This was a great place to visit. I was going to say museum but this is a sensory overload. I just loved wandering from room to room. Be sure to take time and get the full impact of the artwork and the visual illusions presented. This is the kind of place that you just have to stroll thru and maybe backtrack once or twice to be sure you see it all. If you have to skip anything skip the jewels but if at all possible see it also. It was so nice we were going to catch a train late that day back to Barcelona so we took our luggage to the Dali Theater and they nicely had a large check room. Also check out the church outside the front entrance to the museum.","positive","positive",5,3
17,"rn460472956","Cheryl S","","4 reviews","Dali Museum Figueres and Dali Home Cadaques ",5,"2017-02-16","Great day trip (about 11 hours total) to Figueres and Cadaques. While museum was very interesting and worthwhile, it would be difficult to decide whether the home in Cadaques OR the trip over the mountains and down to Cadaques and Port Ligat was the highlight. BOTH GREAT. Wonderful views. Guide Enrique was engaging and knowledgeable about Dali and his wife Gala (I believe he used the word egomaniacal). So no whitewash here! Very happy with Explore Catalunya tour!",2,"Dali Museum Figueres and Dali Home Cadaques . Great day trip (about 11 hours total) to Figueres and Cadaques. While museum was very interesting and worthwhile, it would be difficult to decide whether the home in Cadaques OR the trip over the mountains and down to Cadaques and Port Ligat was the highlight. BOTH GREAT. Wonderful views. Guide Enrique was engaging and knowledgeable about Dali and his wife Gala (I believe he used the word egomaniacal). So no whitewash here! Very happy with Explore Catalunya tour!","positive","positive",4,3
18,"rn459957986","Steve H","France","209 reviews","Eggs and Baguettes!",5,"2017-02-15","The content and exhibits aside, as the guide says, this museum is “the largest surrealistic object in the World”.<br><br>So, if you only take time to properly explore the courtyard and stage/cupola, the visit is well worth it. But please, do go and visit the rest of the mueum as even if it is not to your taste, you are bound to find some picture, exhibit or hidden corner which will imprint the Museu Dali on your memory.<br><br>Unlike many museums, you are not given a map or guide at the ticket office. You find these by turning back on yourself, to the right after you have had your ticket checked at the entrance barrier. There are information leaflets and maps in many languages.<br><br>There are quite a few staircases and steps to manoeuvre, something to be aware of if you are infirm or find stairs difficult.<br><br>You can buy a ticket in advance on the internet to reduce queuing times in peak season. As we were here in February this wasn’t an issue for us. Our apartment overlooked the front of the museum and it seemed to us that the number of people entering was much reduced after one o’clock.<br><br>There is now a permanent exhibition of Dali's jewellery and this is also well worth a visit. You have to leave the main museum and use a separate entrance; the price of entry is included in the museum entrance fee.<br><br>When you’ve finished, a walk around the outside of the building is worthwhile.<br>Enjoy your visit! Oh yes, CAMERA!",2,"Eggs and Baguettes!. The content and exhibits aside, as the guide says, this museum is “the largest surrealistic object in the World”.  So, if you only take time to properly explore the courtyard and stage/cupola, the visit is well worth it. But please, do go and visit the rest of the mueum as even if it is not to your taste, you are bound to find some picture, exhibit or hidden corner which will imprint the Museu Dali on your memory.  Unlike many museums, you are not given a map or guide at the ticket office. You find these by turning back on yourself, to the right after you have had your ticket checked at the entrance barrier. There are information leaflets and maps in many languages.  There are quite a few staircases and steps to manoeuvre, something to be aware of if you are infirm or find stairs difficult.  You can buy a ticket in advance on the internet to reduce queuing times in peak season. As we were here in February this wasn’t an issue for us. Our apartment overlooked the front of the museum and it seemed to us that the number of people entering was much reduced after one o’clock.  There is now a permanent exhibition of Dali's jewellery and this is also well worth a visit. You have to leave the main museum and use a separate entrance; the price of entry is included in the museum entrance fee.  When you’ve finished, a walk around the outside of the building is worthwhile. Enjoy your visit! Oh yes, CAMERA!","positive","negative",7,8
19,"rn459449502","makromuc","Munich, Germany","41 reviews","Exceptional museum experience",5,"2017-02-13","The Teatre-Museu Dalí is surely one of the more exceptional and inspirational museums of Europe and well worth a visit even if you´re not a Dalí aficionado. If you are, it´s an absolute treat. The sheer scope of the exhibits is astonishing, ranging from lesser known works to some of his most famous, highlighting the full extent of his artistic genius. It´s one of those places where you could spend days and never get bored, and it certainly is a place to come back to. The buidling is a former theatre that was turned into a piece of art in itself in typical Dalí fashion. The Museum is popular so be prepared for crowds and in particular scholl classes.",2,"Exceptional museum experience. The Teatre-Museu Dalí is surely one of the more exceptional and inspirational museums of Europe and well worth a visit even if you´re not a Dalí aficionado. If you are, it´s an absolute treat. The sheer scope of the exhibits is astonishing, ranging from lesser known works to some of his most famous, highlighting the full extent of his artistic genius. It´s one of those places where you could spend days and never get bored, and it certainly is a place to come back to. The buidling is a former theatre that was turned into a piece of art in itself in typical Dalí fashion. The Museum is popular so be prepared for crowds and in particular scholl classes.","positive","positive",4,3
20,"rn459358700","Kirsty J","","3 reviews","A must see! ",5,"2017-02-13","This really was the highlight of our trip to Figueres/Barcelona and was the main reason for going - it really did not disappoint. Everywhere you look in the museum there is more art to discover it's amazing you have to go and see it for yourself! We actually stayed in Figueres right next to the museum and found that it was definitely quieter and no queues to get in around lunchtime so go at lunch if you want to avoid the queues!",2,"A must see! . This really was the highlight of our trip to Figueres/Barcelona and was the main reason for going - it really did not disappoint. Everywhere you look in the museum there is more art to discover it's amazing you have to go and see it for yourself! We actually stayed in Figueres right next to the museum and found that it was definitely quieter and no queues to get in around lunchtime so go at lunch if you want to avoid the queues!","positive","neutral",2,2
21,"rn459200224","BrentonR","Austin, Texas","4 reviews","Wonderful stop outside of Barcelona",5,"2017-02-13","I'm a huge Dali fan, so this was a gimme to go here, but my wife is now also a fan of his, never having seen so much of his work. For those Dali fanatics, you can't come to this region and not visit at least once.",3,"Wonderful stop outside of Barcelona. I'm a huge Dali fan, so this was a gimme to go here, but my wife is now also a fan of his, never having seen so much of his work. For those Dali fanatics, you can't come to this region and not visit at least once.","positive","negative",1,2
22,"rn458782272","Qyince","","18 reviews","Phenomenal!!! <f0><U+009F><U+0098><U+008D>",5,"2017-02-11","This place is so magical! I am the huge Dali fan and for me this was so amazing experience! I was enjoying every second in this myseum!",3,"Phenomenal!!! <f0><U+009F><U+0098><U+008D>. This place is so magical! I am the huge Dali fan and for me this was so amazing experience! I was enjoying every second in this myseum!","positive","positive",5,1
23,"rn458205748","Katherine D","Hanoi, Vietnam","27 reviews","Dali does it again",4,"2017-02-09","This museum proves that Dali was a champion of self promotion and marketing. It does indeed present a number of very interesting sculptures and drawings in a peculiar environment that only Dali could dream up. And it's a great site for photos. One or two paintings caught my eye - particularly his portrait of Gala done with spheres. BUT if you want to see great Dali paintings, go to the Prada in Madrid, MoMA in New York, or the National Gallery in Washington DC.",3,"Dali does it again. This museum proves that Dali was a champion of self promotion and marketing. It does indeed present a number of very interesting sculptures and drawings in a peculiar environment that only Dali could dream up. And it's a great site for photos. One or two paintings caught my eye - particularly his portrait of Gala done with spheres. BUT if you want to see great Dali paintings, go to the Prada in Madrid, MoMA in New York, or the National Gallery in Washington DC.","positive","positive",3,2
24,"rn457078761","Martine M","Tongeren, Belgium","31 reviews","A glimpse in the creative mind of Dali",5,"2017-02-04","I grew up with the paintings of Dali, but to see them with your own eyes is amazing. The museum truly gives you a glimpse in the mind of this creative master artist. It's surprising from the very first moment. Especially look at the details of the paintings. The visit takes about 2 hrs. Tip: Combine dinner and a night visit to the museum, less crowded and a very special atmosphere with the lighting in full effect. I promise you'll have a great evening!",3,"A glimpse in the creative mind of Dali. I grew up with the paintings of Dali, but to see them with your own eyes is amazing. The museum truly gives you a glimpse in the mind of this creative master artist. It's surprising from the very first moment. Especially look at the details of the paintings. The visit takes about 2 hrs. Tip: Combine dinner and a night visit to the museum, less crowded and a very special atmosphere with the lighting in full effect. I promise you'll have a great evening!","positive","positive",6,1
25,"rn456354653","Kaplow820","Santa Monica, California","64 reviews","This was my first visit to the museum",5,"2017-02-01","Of course, before you go, you don't know what really to expect. I think the museum is really well done. I loved the layout of the museum. A lot of things are incredible, and totally wacky, in a good way. Such a fun museum, a lot of laughs and wonder. I liked how there's a lot of hands-on things to see, which makes the museum interactive. <br><br><br>My only suggestion is bring some small change, because there's a few things that you can (but don't have to) pay for inside, which is just like the icing on top, just adds a little bit more fun to the museum. <br><br>Otherwise, loved the museum, and would definitely go back, when we can. <br><br><br>So much fun!!",3,"This was my first visit to the museum. Of course, before you go, you don't know what really to expect. I think the museum is really well done. I loved the layout of the museum. A lot of things are incredible, and totally wacky, in a good way. Such a fun museum, a lot of laughs and wonder. I liked how there's a lot of hands-on things to see, which makes the museum interactive.    My only suggestion is bring some small change, because there's a few things that you can (but don't have to) pay for inside, which is just like the icing on top, just adds a little bit more fun to the museum.   Otherwise, loved the museum, and would definitely go back, when we can.    So much fun!!","positive","positive",10,2
26,"rn456325620","PoppyPotatoe","Singapore, Singapore","95 reviews","If you love Dali, you will love this!",5,"2017-02-01","Just an amazing place to showcase Dali's work, the whole exterior and interior is fascinating. I would love to spend hours here just admiring all this artwork!",3,"If you love Dali, you will love this!. Just an amazing place to showcase Dali's work, the whole exterior and interior is fascinating. I would love to spend hours here just admiring all this artwork!","positive","positive",3,0
27,"rn455481361","Ana K","","6 reviews","Unbelievable!! Splendid!",5,"2017-01-28","I knew already Dali's works, but the building, the disposition of the sculptures and paintings are singular. Dali him self inaugurated the museum, we can feel the atmosphere of the surrealism genius along the visit. Must be visit!!",3,"Unbelievable!! Splendid!. I knew already Dali's works, but the building, the disposition of the sculptures and paintings are singular. Dali him self inaugurated the museum, we can feel the atmosphere of the surrealism genius along the visit. Must be visit!!","positive","positive",1,0
28,"rn453807057","Guy H","","19 reviews","Art of the mustache ",4,"2017-01-21","Such and amazing place, Salvador Dali is an absolute genius such and an amazing influence on contemporary art had a great time admiring all his work. Definatly a must see if you respect the arts",3,"Art of the mustache . Such and amazing place, Salvador Dali is an absolute genius such and an amazing influence on contemporary art had a great time admiring all his work. Definatly a must see if you respect the arts","positive","positive",3,0
29,"rn453589616","Bryan A","Dublin, Ireland","105 reviews","what a great experience",5,"2017-01-20","This is an amazing attraction for art lovers, young and old. It is a large collection of Dali's art and the quirkiness, the area is lovely.",3,"what a great experience. This is an amazing attraction for art lovers, young and old. It is a large collection of Dali's art and the quirkiness, the area is lovely.","positive","positive",4,0
30,"rn453433169","Dee B","Moscow, Idaho","3 reviews","Worth the trip!",5,"2017-01-19","I went to the museum in January, wasn't very crowded, didn't need tickets ahead, it was great. Take your time, if you walk through it quickly, you'd miss half of what's going on. There are a million wonderful details to see.",3,"Worth the trip!. I went to the museum in January, wasn't very crowded, didn't need tickets ahead, it was great. Take your time, if you walk through it quickly, you'd miss half of what's going on. There are a million wonderful details to see.","positive","positive",2,1
31,"rn453296547","yb1uk","UK","150 reviews","Dali at his best",5,"2017-01-19","if you are in the area you must go to this museum, which is in the old cinema, a building is qwerty, the painting brilliant and bizarre - all at the same time, great place to list.",4,"Dali at his best. if you are in the area you must go to this museum, which is in the old cinema, a building is qwerty, the painting brilliant and bizarre - all at the same time, great place to list.","positive","positive",2,0
32,"rn452980553","Kevin F","Belfast, United Kingdom","23 reviews","Weird, wacky, wonderful. Loved it",5,"2017-01-18","If you want a museum/art gallery experience with a difference, check out the Dali Theatre in Figueres. It's not overly expensive and you can stay as long as you want or until you realise your head is about to explode from the sheer genius/lunacy of the man. The eggs on the roof and the bread-adorned outside walls set the scene for a visit with a difference and make sure you check out the Mae West apartment.",4,"Weird, wacky, wonderful. Loved it. If you want a museum/art gallery experience with a difference, check out the Dali Theatre in Figueres. It's not overly expensive and you can stay as long as you want or until you realise your head is about to explode from the sheer genius/lunacy of the man. The eggs on the roof and the bread-adorned outside walls set the scene for a visit with a difference and make sure you check out the Mae West apartment.","positive","neutral",3,3
33,"rn451289113","Dave P","Carrickmacross, Ireland","102 reviews","Best Ever",5,"2017-01-11","This museum cannot be missed. No matter where you look there is something unexpected and fantastic. Brilliant for kids of all ages. If over 60 don't forget proof of age for big discount",4,"Best Ever. This museum cannot be missed. No matter where you look there is something unexpected and fantastic. Brilliant for kids of all ages. If over 60 don't forget proof of age for big discount","positive","positive",3,1
34,"rn450255281","Tripsadaisical","","13 reviews","Dali museum ",4,"2017-01-07","Fascinating but limited explanation of exhibits. Busy in January so summer probably very crowded. Decided it was worth arranging a visit to the house at Port Lligat",4,"Dali museum . Fascinating but limited explanation of exhibits. Busy in January so summer probably very crowded. Decided it was worth arranging a visit to the house at Port Lligat","positive","negative",1,2
35,"rn448116964","Cheryl L","Philadelphia, Pennsylvania","33 reviews","Extremely Crowded but Worth It!",4,"2016-12-31","The Dali Museum was great but the crowds are a bit overwhelming, much more than even the Sagrada Familia for example. There were lots of families with young children and they treated the museum as more of a playground than museum. Since the corridors were already crowded, this became a problem as our trip went on. Lastly, it's an easy walk from the high speed train station to the museum and nicely situated in the center of the small town.",4,"Extremely Crowded but Worth It!. The Dali Museum was great but the crowds are a bit overwhelming, much more than even the Sagrada Familia for example. There were lots of families with young children and they treated the museum as more of a playground than museum. Since the corridors were already crowded, this became a problem as our trip went on. Lastly, it's an easy walk from the high speed train station to the museum and nicely situated in the center of the small town.","positive","negative",2,3
36,"rn447369063","chris S","Llandudno, United Kingdom","10 reviews","Stunning !",5,"2016-12-29","Even if you are not a Dali fan, this is worth a visit. I have never seen a place dedicated to such unconventional ideas before. Loved many of the exhibits - so difficult to pick a favourite. On our visit, the museum was relatively quiet - most holidaymakers choosing to fry on the beach, but our day at the Dali Museum will be a memory forever.",4,"Stunning !. Even if you are not a Dali fan, this is worth a visit. I have never seen a place dedicated to such unconventional ideas before. Loved many of the exhibits - so difficult to pick a favourite. On our visit, the museum was relatively quiet - most holidaymakers choosing to fry on the beach, but our day at the Dali Museum will be a memory forever.","positive","neutral",2,2
37,"rn447283492","gegk1973","Florence, Italy","5 reviews","Amazing museum",5,"2016-12-28","It's really worth visiting it! Fortunately we visited Dali's museum with a tour guide, which was a great deal because of his eccentric artistic nature, which was caprured on his exhibits. I totally suggest it!",4,"Amazing museum. It's really worth visiting it! Fortunately we visited Dali's museum with a tour guide, which was a great deal because of his eccentric artistic nature, which was caprured on his exhibits. I totally suggest it!","positive","positive",3,0
38,"rn446074245","Morgan P","","7 reviews","Great visit!",5,"2016-12-22","We arrived with only an hour and 15 mins to walk through the museum and were a little rushed at the end but so glad we went! Dali's art is simply amazing.",4,"Great visit!. We arrived with only an hour and 15 mins to walk through the museum and were a little rushed at the end but so glad we went! Dali's art is simply amazing.","positive","positive",3,1
39,"rn445002374","Sarrah K","Cairo Governorate, Egypt","16 reviews","Speechless!",5,"2016-12-18","This is ABSOLUTELY a must see on any short visit to Barcelona! It is very easy to get there. When you go to the train station in Barcelona (Sants), you will have two options: the fast train or RENFE. I personally took RENFE, because I paid for a two way trip only 24 euros! It takes around 2 hours to get there by train. You do NOT buy the tickets before the day of the travel. You just show up to the train station and go between counters 1-6 and ask for a two way ticket to Figueres. The great thing is that there is no time printed on the ticket, so you can take the train whenever you like. When in Figueres, it is very easy to find the museum by just following the signs. To be honest, I pretty much knew I wanted to go to this Museum, but then after going there, I can't believe how much people miss out on, by not visiting this museum. I find the price to be pretty cheap for what it offers (reduced 10 euros, normal price 14 euros). This museum is different from other museums, as it does not merely display Dali's works, but the Theatre-Museum ITSELF, IS a work of Dali! The interiors are all displaying his sketches, paintings, jewelry, furniture, etc. The experience of walking through the walls of this structure cannot be summed up in words. You just have to go see it for yourself, and allow the experience to consume you!",4,"Speechless!. This is ABSOLUTELY a must see on any short visit to Barcelona! It is very easy to get there. When you go to the train station in Barcelona (Sants), you will have two options: the fast train or RENFE. I personally took RENFE, because I paid for a two way trip only 24 euros! It takes around 2 hours to get there by train. You do NOT buy the tickets before the day of the travel. You just show up to the train station and go between counters 1-6 and ask for a two way ticket to Figueres. The great thing is that there is no time printed on the ticket, so you can take the train whenever you like. When in Figueres, it is very easy to find the museum by just following the signs. To be honest, I pretty much knew I wanted to go to this Museum, but then after going there, I can't believe how much people miss out on, by not visiting this museum. I find the price to be pretty cheap for what it offers (reduced 10 euros, normal price 14 euros). This museum is different from other museums, as it does not merely display Dali's works, but the Theatre-Museum ITSELF, IS a work of Dali! The interiors are all displaying his sketches, paintings, jewelry, furniture, etc. The experience of walking through the walls of this structure cannot be summed up in words. You just have to go see it for yourself, and allow the experience to consume you!","positive","negative",2,12
40,"rn444696844","Phyllis P","Philadelphia, Pennsylvania","41 reviews","Amazing Museum",5,"2016-12-16","I went to the museum not knowing too much about the artist. I learned so much about him. His art work was amazing and sometimes very realistic. He was truly a genius. I also liked seeing his jewelry. It is worth the trip to see this gem!!!",4,"Amazing Museum. I went to the museum not knowing too much about the artist. I learned so much about him. His art work was amazing and sometimes very realistic. He was truly a genius. I also liked seeing his jewelry. It is worth the trip to see this gem!!!","positive","positive",7,1
41,"rn443581625","kair26","hampton","13 reviews","Totally worth it",5,"2016-12-11","A fabulous museum and gallery of Dali works. We had 2 hours here and loved every minute, even our teenage kids were fascinated - they liked it better than the Lourve. What an amazing mind and a genius Dali was.",5,"Totally worth it. A fabulous museum and gallery of Dali works. We had 2 hours here and loved every minute, even our teenage kids were fascinated - they liked it better than the Lourve. What an amazing mind and a genius Dali was.","positive","positive",4,0
42,"rn443422459","Lraep","West Vancouver, Canada","280 reviews","Must Visit for Dali-Lover",5,"2016-12-11","It's an interesting museum to look at Dali's work. There're many 3-D displays, instead of only 2-D drawings. Just the outlook of the museum was already a lot of fun. The Jewel Room was also interesting to visit.",5,"Must Visit for Dali-Lover. It's an interesting museum to look at Dali's work. There're many 3-D displays, instead of only 2-D drawings. Just the outlook of the museum was already a lot of fun. The Jewel Room was also interesting to visit.","positive","positive",3,1
44,"rn442369821","Vesa52","Torrevieja, Spain","11 reviews","Interesting",5,"2016-12-06","If you like modern art this museum is a must! It gives a very good picture about Salvador Dalis art and how it has has changed during his years.",5,"Interesting. If you like modern art this museum is a must! It gives a very good picture about Salvador Dalis art and how it has has changed during his years.","positive","positive",3,0
45,"rn442020990","Tracyandjjtravels","California","55 reviews","A must see for the Dali lover!",5,"2016-12-04","Very interesting place to see and he is here in a tomb on the property. I LOVED the art work and they were wonderful about letting us take pictures which we appreciated.",5,"A must see for the Dali lover!. Very interesting place to see and he is here in a tomb on the property. I LOVED the art work and they were wonderful about letting us take pictures which we appreciated.","positive","positive",3,0
46,"rn441029310","Helene candace H","","3 reviews","Breath taking,quirky amazing!!",5,"2016-11-30","This gallery in a rebuilt theatre designed by Dali to be the principal space to share his art with the people is filled with love beauty awe regret horror humour .. the gamut of the human sprit expressed and flaunted. In my books the best gallery in Europe!!",5,"Breath taking,quirky amazing!!. This gallery in a rebuilt theatre designed by Dali to be the principal space to share his art with the people is filled with love beauty awe regret horror humour .. the gamut of the human sprit expressed and flaunted. In my books the best gallery in Europe!!","positive","positive",2,1
47,"rn441016688","Ronald L","Longmont, United States","275 reviews","Great day trip from Barcelona",5,"2016-11-29","Checked in for our tour at Tours4Fun office. This organization runs several different tours related to Barcelona and the surrounding area. Wendy was our tour guide on our Costa Brava Day Trip with Salvador Dali Theatre-Museum tour. She lead the group of 13 on a short walk to an awaiting bus. It was a two hour trip via toll road to our first stop in Figueres for the Dali Theatre-Museum. Arrived in Figueres at 1045 and had a few minutes for a coffee, bathroom break before entering the Theatre-Museum. There was also an exhibit of his jewelry, which we were not aware he was even in to. We did not<br>have time to see this exhibit. Our guide took us through the museum and then turned us loose until we met at 1300 to leave. Well worth the time to visit this most unusual collection of art.",5,"Great day trip from Barcelona. Checked in for our tour at Tours4Fun office. This organization runs several different tours related to Barcelona and the surrounding area. Wendy was our tour guide on our Costa Brava Day Trip with Salvador Dali Theatre-Museum tour. She lead the group of 13 on a short walk to an awaiting bus. It was a two hour trip via toll road to our first stop in Figueres for the Dali Theatre-Museum. Arrived in Figueres at 1045 and had a few minutes for a coffee, bathroom break before entering the Theatre-Museum. There was also an exhibit of his jewelry, which we were not aware he was even in to. We did not have time to see this exhibit. Our guide took us through the museum and then turned us loose until we met at 1300 to leave. Well worth the time to visit this most unusual collection of art.","positive","negative",3,6
