"id","username","location","userop","quote","rating","date","reviewnospace","page","titleopinion","SentimentValue","SentimentCore","pos","neg"
"rn467245813","ninamukherji","Bengaluru, India","13 reviews","Great collection of Comtemporary artists",5,"2017-03-14","I had done the Prado and wanted to do one more Museum. Someone at the hotel recommended the Reina Sofia and I am so glad that I went. They really have a terrific collection of well known and lesser known contemporary artists. Some really great works displayed here. I spent about 3 hours in the museum and got to se one floor which had the permanent display. This was the second floor. Must pick up the audio guide or download an audio guide from the playstore. The Android playstore one is much cheaper but doesn't cover as much ground as the one you get at the museum. Apart from the famous works of Pablo Picasso and Salvador Dali there are some other fantastic artists that shouldn't be missed. Woman with a Fan - Maria Blanchard, works of Joan Miro and Garrote by Ramon Casas. Reading by Julio Romero was absolutely stunning and I went back to look at it 2 more times. I went to look at Guernica and the many practice sketches that Picasso had done before he finally made the painting. Maybe I had heard too much of it before going so it didn't have the desired effect. <br>You can take photos of many of the paintings as long s you don't use a flash. I took a few. <br>There is a lovely bar/café at the Museum actually its just outside the museum. Its called Arzabal - the name attracted me to it. Thought it sounded like some mythical or shakespearen character. It was fabulous - I had a glass of wine and some dessert - and thought over all the wonderful art I'd just seen. A wonderful end to wonderful day.",3,"Great collection of Comtemporary artists. I had done the Prado and wanted to do one more Museum. Someone at the hotel recommended the Reina Sofia and I am so glad that I went. They really have a terrific collection of well known and lesser known contemporary artists. Some really great works displayed here. I spent about 3 hours in the museum and got to se one floor which had the permanent display. This was the second floor. Must pick up the audio guide or download an audio guide from the playstore. The Android playstore one is much cheaper but doesn't cover as much ground as the one you get at the museum. Apart from the famous works of Pablo Picasso and Salvador Dali there are some other fantastic artists that shouldn't be missed. Woman with a Fan - Maria Blanchard, works of Joan Miro and Garrote by Ramon Casas. Reading by Julio Romero was absolutely stunning and I went back to look at it 2 more times. I went to look at Guernica and the many practice sketches that Picasso had done before he finally made the painting. Maybe I had heard too much of it before going so it didn't have the desired effect.  You can take photos of many of the paintings as long s you don't use a flash. I took a few.  There is a lovely bar/café at the Museum actually its just outside the museum. Its called Arzabal - the name attracted me to it. Thought it sounded like some mythical or shakespearen character. It was fabulous - I had a glass of wine and some dessert - and thought over all the wonderful art I'd just seen. A wonderful end to wonderful day.","positive","neutral",8,8
"rn467165432","bettyboop003","england","150 reviews","Enjoyable",4,"2017-03-14","Went here with my partner and thoughrally enjoyed it. Not one really for museaums but i did enjoy this very much and would go again with freinds.",3,"Enjoyable. Went here with my partner and thoughrally enjoyed it. Not one really for museaums but i did enjoy this very much and would go again with freinds.","positive","neutral",1,1
"rn467082686","tohtem","Montreal","109 reviews","Amazing Guernica",5,"2017-03-13","Worth the visit just for Picasso's Guernica. But you can see much more if you are a fan or Modern Art. Would have liked to take pictures. <br><br>My daughter is 11 did not appreciate as much. Maybe some animation would have made the difference. The architecture of the new aisle is amazing.",3,"Amazing Guernica. Worth the visit just for Picasso's Guernica. But you can see much more if you are a fan or Modern Art. Would have liked to take pictures.   My daughter is 11 did not appreciate as much. Maybe some animation would have made the difference. The architecture of the new aisle is amazing.","positive","positive",5,0
"rn467015745","nikki m","Escanecrabe, France","7 reviews","Disappointed",2,"2017-03-13","To be fair I visited this art gallery with my son and we thought we'd try and see if we could get it. We didn't. But I'm sure if your an arty person you would. Was worth it though just to see Picasso's Guernica.",3,"Disappointed. To be fair I visited this art gallery with my son and we thought we'd try and see if we could get it. We didn't. But I'm sure if your an arty person you would. Was worth it though just to see Picasso's Guernica.","negative","neutral",2,2
"rn466912892","jane475","Sydney, Australia","34 reviews","Guernica and so much more",4,"2017-03-13","seeing Guernica was must for a trip to Madrid. However, this museum has lottos other things to offer. great collection of Spanish art in the 20th century. I also liked that people cant take photos. you can focus in looking at the art rather than people distracting you with screens. <br><br>very nice bar downstairs when you need a break between you art viewing!",3,"Guernica and so much more. seeing Guernica was must for a trip to Madrid. However, this museum has lottos other things to offer. great collection of Spanish art in the 20th century. I also liked that people cant take photos. you can focus in looking at the art rather than people distracting you with screens.   very nice bar downstairs when you need a break between you art viewing!","positive","positive",4,2
"rn466782069","Mark K","","3 reviews","Hard to believe how bad this place is for a supposed top of the range museum.",2,"2017-03-13","Pathetic. Don't waste time and money here. Badly laid out. Incoherent and unimpressive. Little or no signs or directions. Totally random and bleak. Art is supposed to inspire, shock, excite etc... The only thing I was excited about was getting out of there.",3,"Hard to believe how bad this place is for a supposed top of the range museum.. Pathetic. Don't waste time and money here. Badly laid out. Incoherent and unimpressive. Little or no signs or directions. Totally random and bleak. Art is supposed to inspire, shock, excite etc... The only thing I was excited about was getting out of there.","negative","negative",0,5
"rn466696624","ofra s","Caesarea, Israel","56 reviews","Interesting modern Spanish art",4,"2017-03-13","Modern Spanish artists.the gernika of Picasso is the most impressive painting.it is situated at the center of the museum.you can see the process of painting each part of this huge painting.",4,"Interesting modern Spanish art. Modern Spanish artists.the gernika of Picasso is the most impressive painting.it is situated at the center of the museum.you can see the process of painting each part of this huge painting.","positive","positive",2,0
"rn466632068","Tim L","Glasgow, United Kingdom","42 reviews","Very interesting exhibition",4,"2017-03-12","Well worth a visit and has something a bit different from the rest of the museum / galleries in the city with the installations. And plenty works from Piccaso, Dali and Miro that catch the eye including Piccaso's Guernica, which is worth the trip alone given its place in art history.",4,"Very interesting exhibition. Well worth a visit and has something a bit different from the rest of the museum / galleries in the city with the installations. And plenty works from Piccaso, Dali and Miro that catch the eye including Piccaso's Guernica, which is worth the trip alone given its place in art history.","positive","positive",3,0
"rn466059375","Millhill2014","Bergen, Norway","35 reviews","A museum well worth a visit",5,"2017-03-10","The Museo Nacional Centro de Arte Reina Sofia is a large collection of modern art, with many works of the top Spanish painters Picasso, Miro and Dali. The architecture of the Museum is also intriguing, with the combination of the old building and the very modern new structure",4,"A museum well worth a visit. The Museo Nacional Centro de Arte Reina Sofia is a large collection of modern art, with many works of the top Spanish painters Picasso, Miro and Dali. The architecture of the Museum is also intriguing, with the combination of the old building and the very modern new structure","positive","positive",3,0
"rn465973070","David R","","3 reviews","One of the best Modern Art museum I've ever seen.",5,"2017-03-10","The museum is huge and beautiful. Easy to get around. Great exhibitions and even the view is amazing.",4,"One of the best Modern Art museum I've ever seen.. The museum is huge and beautiful. Easy to get around. Great exhibitions and even the view is amazing.","positive","positive",4,0
"rn465924919","Elaine A","Los Angeles, California","10 reviews","Lots of natural light and a large variety of styles and artists",5,"2017-03-09","We loved visiting the Reina Sofia. From the start it was exciting. The entrance is well laid out with the ticket area and security. Then you take glass elevators to wherever you would like to start. What I especially liked was they had mixed famous artists with lesser known. So if you wanted to see a Kandinsky for example, you would also be looking at works from from many other artists in the same grouping of rooms. It was very smartly laid out. It also had sketches by Goya that were used to aid dissent and other print material all the way to WWII that was used for resistance. No other gallery had anything like that. We did not see anywhere near the entire collection, but we enjoyed the few hours we were there. Had nice meal at the Italian restaurant in the square afterward and watched the children playing in costume for ""Carnaval."" Great day.",4,"Lots of natural light and a large variety of styles and artists. We loved visiting the Reina Sofia. From the start it was exciting. The entrance is well laid out with the ticket area and security. Then you take glass elevators to wherever you would like to start. What I especially liked was they had mixed famous artists with lesser known. So if you wanted to see a Kandinsky for example, you would also be looking at works from from many other artists in the same grouping of rooms. It was very smartly laid out. It also had sketches by Goya that were used to aid dissent and other print material all the way to WWII that was used for resistance. No other gallery had anything like that. We did not see anywhere near the entire collection, but we enjoyed the few hours we were there. Had nice meal at the Italian restaurant in the square afterward and watched the children playing in costume for  Carnaval.  Great day.","positive","positive",9,3
"rn465910439","Mina_HippyQueen","Venice, Italy","55 reviews","Fun! ",5,"2017-03-09","Fun to watch, very huge, mostly a Picasso museum. If you're into this kind of art, be prepared to spend a couple of hours enjoying the painting and the atmosphere!",4,"Fun! . Fun to watch, very huge, mostly a Picasso museum. If you're into this kind of art, be prepared to spend a couple of hours enjoying the painting and the atmosphere!","positive","positive",2,1
"rn465572937","571JorgeG","Madrid, Spain","32 reviews","Great art museum",5,"2017-03-08","This is a great art museum if you want to learn more about special artists.Dont miss it if you visit Madrid.",5,"Great art museum. This is a great art museum if you want to learn more about special artists.Dont miss it if you visit Madrid.","positive","positive",2,0
"rn465548820","MikeWhitehouse","Leeds, United Kingdom","24 reviews","Went to see the Picasso's in the main",4,"2017-03-08","Really good art gallery. Liked the Picasso's, some of the Dali's but especially the period covering the Spanish civil war. Really good value if you are over 65 - free!<br><br>Very busy later on, good idea to get there early, as we did.",5,"Went to see the Picasso's in the main. Really good art gallery. Liked the Picasso's, some of the Dali's but especially the period covering the Spanish civil war. Really good value if you are over 65 - free!  Very busy later on, good idea to get there early, as we did.","positive","positive",2,1
"rn465457281","filipe c","Goa, India","48 reviews","free visit after 7 pm",4,"2017-03-07","a small museum one can do in a couple of hours. No entry fees after 7 pm, and free on Monday for the entire day. We saw some exquisite exhibits relating to the Civil War.",5,"free visit after 7 pm. a small museum one can do in a couple of hours. No entry fees after 7 pm, and free on Monday for the entire day. We saw some exquisite exhibits relating to the Civil War.","positive","negative",1,3
"rn465445557","tinariha","New York City, New York","3 reviews","Disappointing",2,"2017-03-07","Found this museum trying to pack too much into each room. The result was too much stimuli in varying mediums in each room, made it difficult to appreciate individual items.",5,"Disappointing. Found this museum trying to pack too much into each room. The result was too much stimuli in varying mediums in each room, made it difficult to appreciate individual items.","negative","negative",0,3
"rn465098816","Elias C","","11 reviews","Modern art venue",4,"2017-03-06","Interesting museum located in central Madrid easily accessed by metro. The museum explores many modern art themes including the role of art in civil war. Picasso and Dali are well featured in this museum and one of the most famous modern art pieces, La Guernica, proudly sits in a hall attracting admirers from all over the world. Overall, I think it's a nice museum, but only if you are into modern art.",5,"Modern art venue. Interesting museum located in central Madrid easily accessed by metro. The museum explores many modern art themes including the role of art in civil war. Picasso and Dali are well featured in this museum and one of the most famous modern art pieces, La Guernica, proudly sits in a hall attracting admirers from all over the world. Overall, I think it's a nice museum, but only if you are into modern art.","positive","positive",2,1
"rn464777295","Graham B","Dalgety Bay","29 reviews","Amazing paintings and sculptures.",5,"2017-03-05","If you like Picasso, Dali and contemporaries this is a great visit. The Picasso paintings of the bombing of Guernica during civil war are very emotive. There are several classic Dali paintings along with many other great artists. You should allow for at least 2-3 hours here. The bar on the left opposite entrance serves good food. We sat out and shared an excellent steak sitting in the sun before going to Real Madrid game that evening.",5,"Amazing paintings and sculptures.. If you like Picasso, Dali and contemporaries this is a great visit. The Picasso paintings of the bombing of Guernica during civil war are very emotive. There are several classic Dali paintings along with many other great artists. You should allow for at least 2-3 hours here. The bar on the left opposite entrance serves good food. We sat out and shared an excellent steak sitting in the sun before going to Real Madrid game that evening.","positive","positive",4,2
"rn464742115","Sparkles331","Toronto, Canada","33 reviews","Must See for Modern Art Lovers!",5,"2017-03-05","We knew before coming to Madrid that we had to go to the Reina Sophia to see Picasso's Guernica, but there is much more to it than that! The Guernica is truly a masterpiece and it is very easy to spend half an hour just in front of it appreciating all of the details, so make sure to budget time for that. There are also photographs of the evolution of the work taken by Picasso's lover as he was doing it. Pre-drawings and post-drawings are part of the full exhibit and tell it's complete story. Besides that, however, there are many other amazing works by Picasso, Dali- who is one of my personal favorites and their contemporaries. All of the Dali's are stunning in their level of detail and I was so glad I got to see them. Do not miss this museum if you are a lover of modern/contemporary art.",5,"Must See for Modern Art Lovers!. We knew before coming to Madrid that we had to go to the Reina Sophia to see Picasso's Guernica, but there is much more to it than that! The Guernica is truly a masterpiece and it is very easy to spend half an hour just in front of it appreciating all of the details, so make sure to budget time for that. There are also photographs of the evolution of the work taken by Picasso's lover as he was doing it. Pre-drawings and post-drawings are part of the full exhibit and tell it's complete story. Besides that, however, there are many other amazing works by Picasso, Dali- who is one of my personal favorites and their contemporaries. All of the Dali's are stunning in their level of detail and I was so glad I got to see them. Do not miss this museum if you are a lover of modern/contemporary art.","positive","positive",5,3
"rn464520257","Adam N","","2 reviews","A unique museum",4,"2017-03-04","Was a great experience visiting this museum. Had many good reviews and indeed well deserved. Might as well spend more time. I did not have much time.",5,"A unique museum. Was a great experience visiting this museum. Had many good reviews and indeed well deserved. Might as well spend more time. I did not have much time.","positive","positive",3,1
"rn464439337","Maayan H","Haifa, Israel","32 reviews","Other than Guernica, don't bother",2,"2017-03-04","I came to see Guernica and I did, it was impressive. But other than that, this museum offers post modern, not to say very odd, art collection. There are some Picasso and Dali but I'd only go if I liked ultra contemporary art.",6,"Other than Guernica, don't bother. I came to see Guernica and I did, it was impressive. But other than that, this museum offers post modern, not to say very odd, art collection. There are some Picasso and Dali but I'd only go if I liked ultra contemporary art.","negative","negative",1,3
"rn464389965","mishka03_foster","Brisbane, Australia","75 reviews","Guernica - a must see",5,"2017-03-03","Get the audio guide if you don't know much about the artworks on display - Guernica is the most famous here and will never leave its spot in this museum as it is too fragile to move (and huge). So it should be on your bucket list.",6,"Guernica - a must see. Get the audio guide if you don't know much about the artworks on display - Guernica is the most famous here and will never leave its spot in this museum as it is too fragile to move (and huge). So it should be on your bucket list.","positive","negative",0,2
"rn464274999","suefoll","London, United Kingdom","5 reviews","The pilgrimage to see 'Guernica' provided so much more",5,"2017-03-03","We expected to visit the gallery, head for Picasso's masterpiece and see just that. However the gallery had dedicated a whole floor to working drawings, related pieces and even photographs of the work in progress. Together with political posters and selected other pieces about the Spanish Civil War, this became a more moving experience than I could possibly imagine.",6,"The pilgrimage to see 'Guernica' provided so much more. We expected to visit the gallery, head for Picasso's masterpiece and see just that. However the gallery had dedicated a whole floor to working drawings, related pieces and even photographs of the work in progress. Together with political posters and selected other pieces about the Spanish Civil War, this became a more moving experience than I could possibly imagine.","positive","neutral",1,1
"rn464262376","JRPMalaga","Colmenar, Spain","38 reviews","Picasso's Guernica",5,"2017-03-03","Reina Sofia is a must for people who visit Spain and Madrid as the whole section devoted to the Spainish civil war is laid out in such detail and truth that not to be moved by the suffering indured by the people cannot be moved.",6,"Picasso's Guernica. Reina Sofia is a must for people who visit Spain and Madrid as the whole section devoted to the Spainish civil war is laid out in such detail and truth that not to be moved by the suffering indured by the people cannot be moved.","positive","negative",0,1
"rn463485135","ebbutterfly7","Barcelona, Spain","15 reviews","Traveler Tip",4,"2017-02-28","While I did check the museum website for opening hours and prices before planning our trip, I neglected to check the day of the week it would be closed- assuming Mondays. It is however closed every Tuesday! Luckily we weren't leaving Madrid until Wednesday afternoon so we did get to visit that morning. I prefer the art collection at Museo del Prado but the Riena Sofia was much less crowded, much cheaper, and my teenagers enjoyed it more.",6,"Traveler Tip. While I did check the museum website for opening hours and prices before planning our trip, I neglected to check the day of the week it would be closed- assuming Mondays. It is however closed every Tuesday! Luckily we weren't leaving Madrid until Wednesday afternoon so we did get to visit that morning. I prefer the art collection at Museo del Prado but the Riena Sofia was much less crowded, much cheaper, and my teenagers enjoyed it more.","positive","negative",1,2
"rn463409978","Carven75","Holland","115 reviews","Museum with a great collection",4,"2017-02-28","We visited this Museum because we loved the artist featured. Great pieces of their work. Best is to go at times or days when its free entry. We did that on Sunday .",6,"Museum with a great collection. We visited this Museum because we loved the artist featured. Great pieces of their work. Best is to go at times or days when its free entry. We did that on Sunday .","positive","positive",5,0
