"id","username","location","quote","rating","date","reviewnospace","page","titleopinion","SentimentValue","SentimentCore","pos","neg"
"rn518442363","PadTha","Vigo, Spain","Fab!",5,"2017-08-28","Oh my what a great Museum of Art! We were in Bilbao for one day on 10th May 2017. The Guggenheim was our destination of choice. We were lucky and had a great guide who was Spanish and spoke good, clear English. <br><br>Our guide gave us detailed descriptions of the Art we were seeing and also the exhibits. There was a display of three large rusty steel curved sheets leaning towards each other in pairs. The idea is that people walk through the space between each pair of panels.<br><br>Bought two Art posters to bring home. Please note: the Bilbao Guggenheim has sturdy cardboard tubes to protect your posters. Each poster cost €9 and the cardboard tube also cost €9<br><br>Enjoyed our visit very much. There's some great art outside too. One is a huge bunch of silver sculpted balloons floating high between the museum and the river alongside.",2,"Fab!. Oh my what a great Museum of Art! We were in Bilbao for one day on 10th May 2017. The Guggenheim was our destination of choice. We were lucky and had a great guide who was Spanish and spoke good, clear English.   Our guide gave us detailed descriptions of the Art we were seeing and also the exhibits. There was a display of three large rusty steel curved sheets leaning towards each other in pairs. The idea is that people walk through the space between each pair of panels.  Bought two Art posters to bring home. Please note: the Bilbao Guggenheim has sturdy cardboard tubes to protect your posters. Each poster cost €9 and the cardboard tube also cost €9  Enjoyed our visit very much. There's some great art outside too. One is a huge bunch of silver sculpted balloons floating high between the museum and the river alongside.","positive","neutral",5,5
"rn518124367","Maricarmen F","Dusseldorf, Germany","Amazing!!!!",5,"2017-08-27","Most definitely worth visiting!!!!! It is an amazing work of art, never seen anything like it!!!! Loved it!!'n",2,"Amazing!!!!. Most definitely worth visiting!!!!! It is an amazing work of art, never seen anything like it!!!! Loved it!!'n","positive","positive",4,0
"rn518011159","Bensytta","Singapore, Singapore","Good Experience! ",5,"2017-08-27","We visited the Guggenheim Museum for the first time. This is one of the biggest art museum in Spain. There are many famous art worked and sculptures. I think every tourist should visit this place. The ticket is 16€ per person. We also walked around the building too. <br><br>In my opinion the museum lives alot from the amazing architecture and the exteriour of the building than from the collection itself.",2,"Good Experience! . We visited the Guggenheim Museum for the first time. This is one of the biggest art museum in Spain. There are many famous art worked and sculptures. I think every tourist should visit this place. The ticket is 16€ per person. We also walked around the building too.   In my opinion the museum lives alot from the amazing architecture and the exteriour of the building than from the collection itself.","positive","positive",4,3
"rn517997653","NewNOng","unknown","The Complex is more attractive than the collection.",4,"2017-08-27","It is Ultra modern Museum, the audio guide provide a load of information on the story of the Museum.<br>It is great to see that the collection and the Museum design in such a way that it trace back to the root of Bilbao steel industry.",2,"The Complex is more attractive than the collection.. It is Ultra modern Museum, the audio guide provide a load of information on the story of the Museum. It is great to see that the collection and the Museum design in such a way that it trace back to the root of Bilbao steel industry.","positive","positive",2,1
"rn517743356","Jo S","London, United Kingdom","Interesting",5,"2017-08-26","Visiting Bilbao had to visit the Guggenheim.<br><br>Building amazing and external art exhibits.<br><br>Some of the exhibits maybe a bit too contemporary for me and failed to understand but maybe that's me.<br><br>Other exhibits were great. <br><br>A great afternoon though.<br><br>Have a walk round the area also - very interesting.",3,"Interesting. Visiting Bilbao had to visit the Guggenheim.  Building amazing and external art exhibits.  Some of the exhibits maybe a bit too contemporary for me and failed to understand but maybe that's me.  Other exhibits were great.   A great afternoon though.  Have a walk round the area also - very interesting.","positive","positive",4,3
"rn517728022","vying","Walnut Creek, California","Interesting and Modern Museum",4,"2017-08-26","It is beautiful both inside and outside of the museum. The exhibits are very contemporary and extraordinary.",3,"Interesting and Modern Museum. It is beautiful both inside and outside of the museum. The exhibits are very contemporary and extraordinary.","positive","positive",5,0
"rn517415652","Andreas_Homanen","Linkoping, Sweden","The building",4,"2017-08-25","Interesting museum, although it's the building itself that is the main attraction. Audio guide is good, but more information about the building would be a good idea.",3,"The building. Interesting museum, although it's the building itself that is the main attraction. Audio guide is good, but more information about the building would be a good idea.","positive","positive",2,0
"rn517111093","Katie C","Paris, France","Don't bother ",1,"2017-08-24","Very disappointing. For the price of the ticket for the collection that's there I was sorely disappointed... it isn't good value for money. The best part is the outside of the building.",3,"Don't bother . Very disappointing. For the price of the ticket for the collection that's there I was sorely disappointed... it isn't good value for money. The best part is the outside of the building.","negative","negative",1,2
"rn516780882","gammish","Fort Lauderdale, Florida","WOW! WOW! WOW!",5,"2017-08-23","For any remote fan of modern art, this is a MUST VISIT even though Bilbao is not a stopping point in Spain. Change your plans and go! We spent the good part of 1/2 a day at the museum and enjoyed meandering the most awesome exhibits as well as a pleasant lunch outside at the cafe. We flew to Bilbao from Madrid and picked up a car where we continued on to San Sebastian area and more...worked out great. Enjoy!",3,"WOW! WOW! WOW!. For any remote fan of modern art, this is a MUST VISIT even though Bilbao is not a stopping point in Spain. Change your plans and go! We spent the good part of 1/2 a day at the museum and enjoyed meandering the most awesome exhibits as well as a pleasant lunch outside at the cafe. We flew to Bilbao from Madrid and picked up a car where we continued on to San Sebastian area and more...worked out great. Enjoy!","positive","negative",1,2
"rn516411219","cris f","Berriosuso","Lovely visit",5,"2017-08-22","Well organised<br>The building is impresive and deserves the visit just for that<br>The exhibitions vary and... Some are tío ""modern"" but there is always beautiful art too",3,"Lovely visit. Well organised The building is impresive and deserves the visit just for that The exhibitions vary and... Some are tío  modern  but there is always beautiful art too","positive","positive",2,0
"rn516304726","maxinedds","Westfield, New Jersey","An amazing experience ",5,"2017-08-22","The trip to Bilbao was made even more memorable with the visit to the Guggenheim. It is an amazing space, worth a trip on it's own. The building is a tribute to the Basque people who welcomed the opportunity to have this marvelous museum in their midst and paid to build it. The permanent exhibits are outstanding.",3,"An amazing experience . The trip to Bilbao was made even more memorable with the visit to the Guggenheim. It is an amazing space, worth a trip on it's own. The building is a tribute to the Basque people who welcomed the opportunity to have this marvelous museum in their midst and paid to build it. The permanent exhibits are outstanding.","positive","positive",6,1
"rn516246646","maserati3200","unknown","a MUST to VISIT",5,"2017-08-22","A must to visit in Bilbao, great archietcture and modern art exhibition.. very well organized the entrance and the ticket office",3,"a MUST to VISIT. A must to visit in Bilbao, great archietcture and modern art exhibition.. very well organized the entrance and the ticket office","positive","positive",2,0
"rn515947337","Mic F","Cesena, Italy","Masterpiece",5,"2017-08-21","An incredible artwork, stunning architecture and engineering masterpiece. Located on the shore of the river, the area has been qualified with a great walkway. The metal plates that cover the structure reflect shades of colour when lighted by sun. The internal structure is as incredible as the outside, with curves and windows and steel. Three floors of expositions, some temporary collections and others are fixed. You may lose yourself walking around in this awesome Museum. Absolutely a must-see if you visit the Basque country.",4,"Masterpiece. An incredible artwork, stunning architecture and engineering masterpiece. Located on the shore of the river, the area has been qualified with a great walkway. The metal plates that cover the structure reflect shades of colour when lighted by sun. The internal structure is as incredible as the outside, with curves and windows and steel. Three floors of expositions, some temporary collections and others are fixed. You may lose yourself walking around in this awesome Museum. Absolutely a must-see if you visit the Basque country.","positive","positive",6,2
"rn515927098","Kylie G","Adelaide, Australia","Pretty cool place ",4,"2017-08-21","We did this In 90 minutes. To be honest we were more interested in the building which is so very very cool. We and this kinds lined the sculptures on the lower level and all the outside installations. Apart from that the gallery with the mont and the one with pop art. We are not that fond of digital art. It's so worth a visit. The audio guide is informative. Great bar on the first floor. Good food reasonable prices and the kids were very happy it had wifi.",4,"Pretty cool place . We did this In 90 minutes. To be honest we were more interested in the building which is so very very cool. We and this kinds lined the sculptures on the lower level and all the outside installations. Apart from that the gallery with the mont and the one with pop art. We are not that fond of digital art. It's so worth a visit. The audio guide is informative. Great bar on the first floor. Good food reasonable prices and the kids were very happy it had wifi.","positive","positive",5,3
"rn515790928","mariecanne","Malaga, Spain","A must visit",5,"2017-08-21","Amazing building inside and out with great permanent artworks including a large Andy Warhol. I was very excited to learn that there was a large Bill Viola (free) exhibition on at the time which did not disappoint. Book tickets in advanced for the earliest time slot to avoid crowds.",4,"A must visit. Amazing building inside and out with great permanent artworks including a large Andy Warhol. I was very excited to learn that there was a large Bill Viola (free) exhibition on at the time which did not disappoint. Book tickets in advanced for the earliest time slot to avoid crowds.","positive","negative",1,2
"rn515731481","BennyMalaga","Caracas, Venezuela","Very Good Exhibition of Fin de Siecle",5,"2017-08-21","My wife and I enjoyed the Fin de Siecle exhibition and learned a lot from the audio guide, which explained the work of many French artists of that time. There were many important works of art in this exhibition.",4,"Very Good Exhibition of Fin de Siecle. My wife and I enjoyed the Fin de Siecle exhibition and learned a lot from the audio guide, which explained the work of many French artists of that time. There were many important works of art in this exhibition.","positive","positive",3,0
"rn515718716","ACJI97","England","Don't miss it",5,"2017-08-21","It's a must place to visit in Bilbao. Nice &amp; modern museum, incredible arts pieces to watch. You must have time to spend on it, at least 2 hours to enjoy all the art rooms. Don't miss it.",4,"Don't miss it. It's a must place to visit in Bilbao. Nice &amp; modern museum, incredible arts pieces to watch. You must have time to spend on it, at least 2 hours to enjoy all the art rooms. Don't miss it.","positive","negative",1,3
"rn515673122","GavinHalliganDavis","Solihull, United Kingdom","fascinating",5,"2017-08-20","This is a must see place in Bilbao. If you come to Bilbao you must find time to.visit the Guggenheim it's a unique experience and who.ever the artist that's being displayed you are guaranteed to come away thrilled at what you have seen and at the while experience of visiting the Gallery.<br></p>",4,"fascinating. This is a must see place in Bilbao. If you come to Bilbao you must find time to.visit the Guggenheim it's a unique experience and who.ever the artist that's being displayed you are guaranteed to come away thrilled at what you have seen and at the while experience of visiting the Gallery.  ","positive","positive",3,0
"rn515597347","NinaGulati","Paris, France","Interesting",4,"2017-08-20","The building and the outdoor art was the most interesting, in my opinion, but there was lots of great art inside too. I would definitely recommend to either book in advance or visit later in the day because the queues were atrocious. We went at around 6 o'clock when the queue was much quieter.",4,"Interesting. The building and the outdoor art was the most interesting, in my opinion, but there was lots of great art inside too. I would definitely recommend to either book in advance or visit later in the day because the queues were atrocious. We went at around 6 o'clock when the queue was much quieter.","positive","neutral",2,2
"rn515581046","Indiewheel","Edinburgh, United Kingdom","Well with it. ",4,"2017-08-20","This was my second time. The Richard Serra permanent exhibition is amazing. There is also work by Rauschenberg, Warhol, Basquiat on display. I wasn't to keen on the more avant garde stuff but they change the exhibitions regularly",4,"Well with it. . This was my second time. The Richard Serra permanent exhibition is amazing. There is also work by Rauschenberg, Warhol, Basquiat on display. I wasn't to keen on the more avant garde stuff but they change the exhibitions regularly","positive","neutral",2,2
"rn515462408","Croque L",NA,"Cool building",4,"2017-08-20","Really cool design of the building. I have to admit I was more impressed by the building than the actual art inside! Definitely worth a visit - it's quite impressive overall and great photo opportunities. <br>Tip - buy tickets online and you skip the main part of the queue. We got there and the queue was huge so we bought tickets on our phone whilst in the queue and then skipped it once we got the code (which was instant). There is then a much shorter queue inside for online tickets.",4,"Cool building. Really cool design of the building. I have to admit I was more impressed by the building than the actual art inside! Definitely worth a visit - it's quite impressive overall and great photo opportunities.  Tip - buy tickets online and you skip the main part of the queue. We got there and the queue was huge so we bought tickets on our phone whilst in the queue and then skipped it once we got the code (which was instant). There is then a much shorter queue inside for online tickets.","positive","negative",3,4
"rn515301724","roos1ter","unknown","Exceeded my expectations",5,"2017-08-19","Enjoyed the Guggenheim much more than I expected, largely due to the great exhibits they currently have - just enough before your feet start to hurt! The building is, of course, an exhibit in itself, and the setting superb. Café also worth a visit - great gin and tonics!",4,"Exceeded my expectations. Enjoyed the Guggenheim much more than I expected, largely due to the great exhibits they currently have - just enough before your feet start to hurt! The building is, of course, an exhibit in itself, and the setting superb. Café also worth a visit - great gin and tonics!","positive","positive",4,1
"rn515273572","Kathy H","Portland, Oregon","Must see this in Bilbao!",5,"2017-08-19","Seeing it from various places in the city, especially on the bus coming in from the airport, is a real treat. The puppy made of flowers in front as well is an icon of Bilbao. The exhibits vary, but the building itself is fascinating. Only the staircases and elevator shafts have truly straight lines. The pools and outdoor art are lovely.",5,"Must see this in Bilbao!. Seeing it from various places in the city, especially on the bus coming in from the airport, is a real treat. The puppy made of flowers in front as well is an icon of Bilbao. The exhibits vary, but the building itself is fascinating. Only the staircases and elevator shafts have truly straight lines. The pools and outdoor art are lovely.","positive","positive",5,1
"rn515111915","IaTravel","Iowa","Spectacular Building",5,"2017-08-19","The experience of the museum for us was mostly around the building. It is simple spectacular in every way. Some of the art exhibits were over our heads. :). Others were great!",5,"Spectacular Building. The experience of the museum for us was mostly around the building. It is simple spectacular in every way. Some of the art exhibits were over our heads. :). Others were great!","positive","positive",4,0
"rn515028221","John C","County Dublin, Ireland","Well worth the visit",5,"2017-08-18","We chose to fly into Bilbao specifically to see this museum and we were not disappointed. What a wonderful building, inhabited by some terrific art works.",5,"Well worth the visit. We chose to fly into Bilbao specifically to see this museum and we were not disappointed. What a wonderful building, inhabited by some terrific art works.","positive","positive",2,1
"rn514980043","Derek B","Chicago, Illinois","Worth the Hype",5,"2017-08-18","Incredible building aside, the exhibits are simply fantastic. Modern art can often feel exclusive but everything on show here is fascinating, accessible and incredible to see. <br><br>Not to be missed.",5,"Worth the Hype. Incredible building aside, the exhibits are simply fantastic. Modern art can often feel exclusive but everything on show here is fascinating, accessible and incredible to see.   Not to be missed.","positive","positive",3,0
"rn514955654","jojoKobe","Leatherhead, United Kingdom","Awesome ",5,"2017-08-18","Loved this museum!<br>Both the exterior and interior were stunning!<br>I went back 4 times during my 5 days in Bilbao to take ore pictures <br>This was my highlight of Bilbao and I highly recommend it",5,"Awesome . Loved this museum! Both the exterior and interior were stunning! I went back 4 times during my 5 days in Bilbao to take ore pictures  This was my highlight of Bilbao and I highly recommend it","positive","positive",5,0
"rn514836483","Rickanstis","Derby, United Kingdom","World Class - Don't Miss It!",5,"2017-08-18","The combination of art and architecture here is beyond compare - a remarkable place, and not to be missed!",5,"World Class - Don't Miss It!. The combination of art and architecture here is beyond compare - a remarkable place, and not to be missed!","positive","positive",1,0
"rn514691222","Steven M","Raleigh, North Carolina, United States","Fantastic ",5,"2017-08-18","This was my reason for visiting Bilbao and it disappoint. The building itself is the star, but the collection is pretty good too. Very helpful with folks who need assistance.",5,"Fantastic . This was my reason for visiting Bilbao and it disappoint. The building itself is the star, but the collection is pretty good too. Very helpful with folks who need assistance.","positive","positive",2,1
"rn514272472","Sue B",NA,"Amazing architecture ",5,"2017-08-17","You can't help but be amazed by this fascinating building. All the curves and angles interconnecting and blending harmoniously with each other and the immediate surroundings; you don't even have to be an art lover to appreciate it. <br>There are installation pieces outside of the museum and the internal shows that you can pay to see. There was a free exhibition available during my visit by some local school children in conjunction with several artists, which was lovely to see.",5,"Amazing architecture . You can't help but be amazed by this fascinating building. All the curves and angles interconnecting and blending harmoniously with each other and the immediate surroundings; you don't even have to be an art lover to appreciate it.  There are installation pieces outside of the museum and the internal shows that you can pay to see. There was a free exhibition available during my visit by some local school children in conjunction with several artists, which was lovely to see.","positive","positive",4,1
"rn514200400","Joyce I","unknown","Spectacular",5,"2017-08-17","We traveled to Bilbao for the museum and was not disappointed. The building is spectacular and worth the price of admission regardless of the art work inside if you are a true lover of architecture.",5,"Spectacular. We traveled to Bilbao for the museum and was not disappointed. The building is spectacular and worth the price of admission regardless of the art work inside if you are a true lover of architecture.","positive","positive",3,1
"rn514137436","Juan C","Santo Domingo, Dominican Republic","Greatest building in Bilbao..perhaps among the greatest in the World",5,"2017-08-17","Amazing work of Frank Gehry, A place to really spend the day, enjoying the views and surroundings. Great food at the bistro and cafeteria.",6,"Greatest building in Bilbao..perhaps among the greatest in the World. Amazing work of Frank Gehry, A place to really spend the day, enjoying the views and surroundings. Great food at the bistro and cafeteria.","positive","positive",4,0
"rn513950267","Edith D","Amsterdam, The Netherlands","Beautiful building, ok expositions",5,"2017-08-16","Absolutely love the buidling, the atmosohere and the great pieces of outdoor art. The exhibitions inside were nice, but did not blow me away. Still: worth the visit!",6,"Beautiful building, ok expositions. Absolutely love the buidling, the atmosohere and the great pieces of outdoor art. The exhibitions inside were nice, but did not blow me away. Still: worth the visit!","positive","positive",3,1
"rn513848015","Jim W","London, United Kingdom","Love the Koons Flower Puppy",4,"2017-08-16","In some ways the highlight of the Guggenheim is outside the museum. Jeff Koons Puppy made from ever fresh flowers is alone worth the visit.",6,"Love the Koons Flower Puppy. In some ways the highlight of the Guggenheim is outside the museum. Jeff Koons Puppy made from ever fresh flowers is alone worth the visit.","positive","neutral",1,1
"rn513798879","Honza H","Barcelona","Visit the museum a dont miss the Puppy!",5,"2017-08-16","Visit the museum a dont miss the Puppy! Nice walk around, must visit when you are in Bilbao. I like the atmosphere.",6,"Visit the museum a dont miss the Puppy!. Visit the museum a dont miss the Puppy! Nice walk around, must visit when you are in Bilbao. I like the atmosphere.","positive","negative",1,2
"rn513735647","19Viajera89","Liverpool, United Kingdom","Interesting exhibits",4,"2017-08-16","Lovely museum full of interesting exhibits. There was some quite famous French work on display when we visited which was great to see.",6,"Interesting exhibits. Lovely museum full of interesting exhibits. There was some quite famous French work on display when we visited which was great to see.","positive","positive",3,0
