"","id","username","location","userop","quote","rating","date","reviewnospace","page","titleopinion"
"22","rn466955684","GazP73","Portsmouth, New Hampshire","9 reviews","Out of this world!",4,2017-03-13,"Walk down the Turia toward the ocean and you come across this place, it's like something out of a sci-fi movie. Well worth an afternoon, or even whole day, wandering around.",3,"Out of this world!. Walk down the Turia toward the ocean and you come across this place, it's like something out of a sci-fi movie. Well worth an afternoon, or even whole day, wandering around."
"23","rn466931430","maxi436","Trieste, Italy","13 reviews","touristic",5,2017-03-13,"excelent architecture very nice very good looking maybe better from outside than inside , very special",3,"touristic. excelent architecture very nice very good looking maybe better from outside than inside , very special"
"24","rn466817506","Kim H","London, United Kingdom","133 reviews","Just a walk round",3,2017-03-13,"Went for a walk along the old river bed and walked around the arts and science park. Didn't visit any of the museums etc as the prices were prohibitive. Nice to look at the architecture.",3,"Just a walk round. Went for a walk along the old river bed and walked around the arts and science park. Didn't visit any of the museums etc as the prices were prohibitive. Nice to look at the architecture."
"25","rn466698746","OriginalPackman","Eagan","25 reviews","Ista 2017",4,2017-03-13,"Spent one afternoon looking at exhibits and exploring the area. A lot of interesting displays with interactive things to explore topic. Many of the scientist memorials on top floor were not translated to English. Interesting building and grounds.",3,"Ista 2017. Spent one afternoon looking at exhibits and exploring the area. A lot of interesting displays with interactive things to explore topic. Many of the scientist memorials on top floor were not translated to English. Interesting building and grounds."
"26","rn466160683","Q8LOST","Kuwait City, Kuwait","46 reviews","Nothing special",3,2017-03-10,"It was very normal nothin special and little boring for me and my wife coz ithink it reminds me of school experiments, well i dont recommend any body to visit this place unless your alread there or passing by because if you have time then the go or go do something else, ilove the place outside so calm and relaxing....",3,"Nothing special. It was very normal nothin special and little boring for me and my wife coz ithink it reminds me of school experiments, well i dont recommend any body to visit this place unless your alread there or passing by because if you have time then the go or go do something else, ilove the place outside so calm and relaxing...."
"27","rn466048273","Sophia P","","7 reviews","Dinosaurs",5,2017-03-10,"It was great in general. At first you feels is this all but once you get going and dig deeper, it's great.",3,"Dinosaurs. It was great in general. At first you feels is this all but once you get going and dig deeper, it's great."
"28","rn465888363","Frank M","Enniskillen, United Kingdom","70 reviews","Plenty to see",4,2017-03-09,"This picture does not do the building and the immediate area justice.lots to see in the museum,you can spend as much or as little time as you want inside.Has a number of eating places and a souvenir shop.Good value for money.",3,"Plenty to see. This picture does not do the building and the immediate area justice.lots to see in the museum,you can spend as much or as little time as you want inside.Has a number of eating places and a souvenir shop.Good value for money."
"29","rn465749310","Jatan18","Mumbai (Bombay), India","56 reviews","Amazingly delightful",5,2017-03-09,"Oh my god !! This place is so huge and so nicely structured. It is one of the beautiful buildings that i have seen in my life. Initially when i saw it from far i was like, Ok this place might be good then when i was nearing i started to realise that this place is very huge. Its a must see tourist attraction guys do not miss out on this. <br>Now talking about the science exhibition, it was really fun going inside you will almost recall all your school memories back if you have been performing those experiments in the class room time. My physics subject just got revised over here. Apart from that there were lot of other things like Fossil world wherein you will discover the Dinosaur era and its importance and history will be explained to you. <br>The space is huge so you will need to walk a lot over here. You can click loads of photographs at this place because the buildings itself are so beautiful and the whole space is scenic in itself. According to me its the best attraction in the whole of Valencia.",3,"Amazingly delightful. Oh my god !! This place is so huge and so nicely structured. It is one of the beautiful buildings that i have seen in my life. Initially when i saw it from far i was like, Ok this place might be good then when i was nearing i started to realise that this place is very huge. Its a must see tourist attraction guys do not miss out on this. <br>Now talking about the science exhibition, it was really fun going inside you will almost recall all your school memories back if you have been performing those experiments in the class room time. My physics subject just got revised over here. Apart from that there were lot of other things like Fossil world wherein you will discover the Dinosaur era and its importance and history will be explained to you. <br>The space is huge so you will need to walk a lot over here. You can click loads of photographs at this place because the buildings itself are so beautiful and the whole space is scenic in itself. According to me its the best attraction in the whole of Valencia."
"30","rn465565651","Ana V","","17 reviews","Spectacular view with empty spaces",4,2017-03-08,"Magnificent, beautiful architecture great for photos and strolling on a sunny day. However as you walk around it you can notice the lack of maintenance it has. There are also some spaces that haven't been used and it is sad to see the waste.",3,"Spectacular view with empty spaces. Magnificent, beautiful architecture great for photos and strolling on a sunny day. However as you walk around it you can notice the lack of maintenance it has. There are also some spaces that haven't been used and it is sad to see the waste."
"31","rn465547566","GrammaShelly","Kfar Vitkin, Israel","60 reviews","Unbelievable",5,2017-03-08,"You have to see it to believe it! Noted architect, Calatrava, was born in Valencia and has created a most spectacular complex of buildings and gardens at the edge of the park at the point where the sea meets the land. Visually, a masterpiece! No photo could do this project justice. The city maintains the facility beautifully - no small task.<br>If you visit only one sight in Valencia this should be your choice!",4,"Unbelievable. You have to see it to believe it! Noted architect, Calatrava, was born in Valencia and has created a most spectacular complex of buildings and gardens at the edge of the park at the point where the sea meets the land. Visually, a masterpiece! No photo could do this project justice. The city maintains the facility beautifully - no small task.<br>If you visit only one sight in Valencia this should be your choice!"
"32","rn465117818","yummymummynorfolkUK","norfolk UK","64 reviews","Architectural delight",5,2017-03-06,"Definitely head to the city of the arts and science, it's incredible. The buildings are magnificent, it's a fantastic place to stroll around and soak up the atmosphere. The attractions themselves are worth going into especially if you've not been before.",4,"Architectural delight. Definitely head to the city of the arts and science, it's incredible. The buildings are magnificent, it's a fantastic place to stroll around and soak up the atmosphere. The attractions themselves are worth going into especially if you've not been before."
"33","rn464966246","VANDAAR","Almere, The Netherlands","33 reviews","fantastic impressive architecture",5,2017-03-06,"Take your time and enjoy these beautiful pieces of modern architecture! This modern style of 'organic' architecture is one of my favourites and the Valencian architect Santiago Calatrava created real Valencian icons. I just can't stop looking at the buildings from different perspectives...",4,"fantastic impressive architecture. Take your time and enjoy these beautiful pieces of modern architecture! This modern style of 'organic' architecture is one of my favourites and the Valencian architect Santiago Calatrava created real Valencian icons. I just can't stop looking at the buildings from different perspectives..."
"34","rn464903245","Jacob G","Australia","28 reviews","Loved this area",5,2017-03-05,"This area was amazing. We'd never heard or read anything about it. Then once we saw it we spent a few hours down here checking it all out. There wasn't many people around either which was good. There was a live band playing on the water so we kicked back with a couple of beers and watched them.<br>Definitely worth a visit.",4,"Loved this area. This area was amazing. We'd never heard or read anything about it. Then once we saw it we spent a few hours down here checking it all out. There wasn't many people around either which was good. There was a live band playing on the water so we kicked back with a couple of beers and watched them.<br>Definitely worth a visit."
"35","rn464452474","Marcin G","Eindhoven, The Netherlands","50 reviews","Quite boring museum, with outdated or non-working demonstrations ",2,2017-03-04,"Please note that this review is only about the museum, not the whole architectural complex. The architecture complex itself is 'must see' in Valencia.<br>But the museum itself looks a bit outdated. A lot of demonstrations simply don't work anymore, and those which work explain some principles of simple physics, which children can see nowadays at their schools. <br>Museum is organised in a quite confusing way. For example, there is a space shuttle simulator requiring a separate ticket. However the ticket is available only at the building's entrance while the simulator is located at the 2nd floor. And the online ticket service was not working. So even if someone discovers a possibility of this simulation during the visit, he or she has to spend extra time to get the ticket. <br>I wouldn't recommend this museum. Just stay outside and enjoy the beauty of the 21st century architecture.<br></p>",4,"Quite boring museum, with outdated or non-working demonstrations . Please note that this review is only about the museum, not the whole architectural complex. The architecture complex itself is 'must see' in Valencia.<br>But the museum itself looks a bit outdated. A lot of demonstrations simply don't work anymore, and those which work explain some principles of simple physics, which children can see nowadays at their schools. <br>Museum is organised in a quite confusing way. For example, there is a space shuttle simulator requiring a separate ticket. However the ticket is available only at the building's entrance while the simulator is located at the 2nd floor. And the online ticket service was not working. So even if someone discovers a possibility of this simulation during the visit, he or she has to spend extra time to get the ticket. <br>I wouldn't recommend this museum. Just stay outside and enjoy the beauty of the 21st century architecture.<br></p>"
"36","rn464302806","Ad W","Utrecht","58 reviews","amazing architecture",5,2017-03-03,"Spectacular architecture and a lot of photo's can be made from these buildings. The museum is worth visiting and cheap in combination with oceanographic. Buy combined tickets and make a visit in two days.",4,"amazing architecture. Spectacular architecture and a lot of photo's can be made from these buildings. The museum is worth visiting and cheap in combination with oceanographic. Buy combined tickets and make a visit in two days."
"37","rn464098270","ReviewerII","Watford","252 reviews","Modern architecture at it's best",5,2017-03-02,"To be honest we didn't enter any of teh exhibits as we were only in Valencia for a short while but we loved walking around here and taking in the sights. The buildings are amazing and very beautiful. We enjoyed walking taking them in,",4,"Modern architecture at it's best. To be honest we didn't enter any of teh exhibits as we were only in Valencia for a short while but we loved walking around here and taking in the sights. The buildings are amazing and very beautiful. We enjoyed walking taking them in,"
"38","rn464076614","Harrison48","Sliema, Malta","9 reviews","A Day is not Enough!",5,2017-03-02,"The place has a 'futuristic' look, is huge and one day is not enough to see all the attractions on offer. We visited the Oceanographic site, a great collection of marine life and enjoyed the dolphin show. We also saw a 3D documentary at the Hemispheric site. You can't visit Valencia and not visit this 'city'.",4,"A Day is not Enough!. The place has a 'futuristic' look, is huge and one day is not enough to see all the attractions on offer. We visited the Oceanographic site, a great collection of marine life and enjoyed the dolphin show. We also saw a 3D documentary at the Hemispheric site. You can't visit Valencia and not visit this 'city'."
"39","rn463672531","Andreas T","","5 reviews","Hemispheric",4,2017-03-01,"Visited the planetarium (the Hemispheric) and saw the movie America Wild. Great movie about the national parks in the US. Some cool mountain shoots of World famous Mountaineer Conrad Anker. Robert Redford as the narrator. Possible to hear in different languages. Cost about 9 Euros for 50 min. Would say that it was worth it. But if you want to see all the museums and the Oceanographic it will cost you lots and lots of money! Especially the Oceanographic is ridiculously expensive (29 Euros!) If you want to see several of the attractions you need to start early in the day. Both the ocenographics and the museums takes 3 hours each!",4,"Hemispheric. Visited the planetarium (the Hemispheric) and saw the movie America Wild. Great movie about the national parks in the US. Some cool mountain shoots of World famous Mountaineer Conrad Anker. Robert Redford as the narrator. Possible to hear in different languages. Cost about 9 Euros for 50 min. Would say that it was worth it. But if you want to see all the museums and the Oceanographic it will cost you lots and lots of money! Especially the Oceanographic is ridiculously expensive (29 Euros!) If you want to see several of the attractions you need to start early in the day. Both the ocenographics and the museums takes 3 hours each!"
"40","rn463370850","SpanglishAbroad","Madrid, Spain","23 reviews","A must see during any Valencia trip. ",5,2017-02-28,"This place is absolutely stunning and is free so should be on everyone's list of sites to see during their stay in Valencia. The architecture on display is wonderful, there are sculptures on the higher walkway as well as some very cool structures that teach you a little bit about the sun, shadows, time and distance. I visited during the day and at night and there is just a wonderful feeling here. The only thing I would say is it's a little confusing walking all the around at night as some parts aren't lit very well so take care.",4,"A must see during any Valencia trip. . This place is absolutely stunning and is free so should be on everyone's list of sites to see during their stay in Valencia. The architecture on display is wonderful, there are sculptures on the higher walkway as well as some very cool structures that teach you a little bit about the sun, shadows, time and distance. I visited during the day and at night and there is just a wonderful feeling here. The only thing I would say is it's a little confusing walking all the around at night as some parts aren't lit very well so take care."
"41","rn462550030","Scoffie","","14 reviews","Just a walk through",5,2017-02-24,"just the design and you can see why tomorrowland chose to film here. It is like an out of this world area with some amazing architecture",5,"Just a walk through. just the design and you can see why tomorrowland chose to film here. It is like an out of this world area with some amazing architecture"
"42","rn462519734","John F","Waterlooville, United Kingdom","10 reviews","A tonic for the soul",5,2017-02-24,"We visit Valencia several times a year and the park of arts and sciences is a must every time. There are few places in the built world that by simply visiting you feel improved. This is one.<br><br>Architecture like this is rare. This is free and wonderful",5,"A tonic for the soul. We visit Valencia several times a year and the park of arts and sciences is a must every time. There are few places in the built world that by simply visiting you feel improved. This is one.<br><br>Architecture like this is rare. This is free and wonderful"
"43","rn462233632","Ignacio C","Jakarta, Indonesia","43 reviews","Looking and Hearing to the future",5,2017-02-23,"This space is over present time!. You will feel in the future.<br>Buildings and surrounding are over time. Architecture is fantastic and you may find amazing things inside. Science, interactions good for any age. Art and Science together with pleasure. Spending some time in this 'city' is well worthy.",5,"Looking and Hearing to the future. This space is over present time!. You will feel in the future.<br>Buildings and surrounding are over time. Architecture is fantastic and you may find amazing things inside. Science, interactions good for any age. Art and Science together with pleasure. Spending some time in this 'city' is well worthy."
"44","rn462189977","ZAM18","LONDON","169 reviews","A sci fi architectural delight",4,2017-02-23,"Even if you have no intention of going in to the Arts and Sciences museums this area is well worth the visit. Close to shopping centre and the park. The buildings themselves feel like you have been launched into the future. That aside if you do have time the museums are worth the visit also.",5,"A sci fi architectural delight. Even if you have no intention of going in to the Arts and Sciences museums this area is well worth the visit. Close to shopping centre and the park. The buildings themselves feel like you have been launched into the future. That aside if you do have time the museums are worth the visit also."
"45","rn462040165","Barry T","Palma de Mallorca, Spain","13 reviews","Visit",1,2017-02-22,"Sorry just a waste of money and time building is a marvel of engineering and the space inside is enormous but the exhibition is total rubbish out of ten I would give it a 1 had more entertainment at a supermarket sorry",5,"Visit. Sorry just a waste of money and time building is a marvel of engineering and the space inside is enormous but the exhibition is total rubbish out of ten I would give it a 1 had more entertainment at a supermarket sorry"
"46","rn462008576","violajuliaok","Valencia, Spain","19 reviews","The new symbol of Valencia city",5,2017-02-22,"These gigantic modern designed buildings are worthy to be the new symbols of valencia city.<br>The opera house,the science museum for children,the 3D cinema etc etc.its a must go on the visiting list.",5,"The new symbol of Valencia city. These gigantic modern designed buildings are worthy to be the new symbols of valencia city.<br>The opera house,the science museum for children,the 3D cinema etc etc.its a must go on the visiting list."
"47","rn461991175","wade b","Dallas, Texas","3 reviews","Tomorrowland brought to life!",5,2017-02-22,"It's a magical place to visit, with the oceanographic, hemisferic, natural history museum, and opera. Very iconic architecture, and fabulous place for a family with kids! Will visit as often as possible!",5,"Tomorrowland brought to life!. It's a magical place to visit, with the oceanographic, hemisferic, natural history museum, and opera. Very iconic architecture, and fabulous place for a family with kids! Will visit as often as possible!"
"48","rn461704685","mdrxabia","Javea","190 reviews","We visited to enjoy the striking architecture .",5,2017-02-21,"We didn't actually go in any of the buildings on this occasion, just wandered around the huge grounds (which is free) enjoying the futuristic architecture, the suspended road bridge, lakes and many installations such as solar clocks of various types. There is a good restaurant as well as cafes and souvenir shops.",5,"We visited to enjoy the striking architecture .. We didn't actually go in any of the buildings on this occasion, just wandered around the huge grounds (which is free) enjoying the futuristic architecture, the suspended road bridge, lakes and many installations such as solar clocks of various types. There is a good restaurant as well as cafes and souvenir shops."
"49","rn461649468","engher r","","9 reviews","Very nice ",4,2017-02-21,"I've been to valencia a couple of times already and I just haven't been lucky enough to get in,one time even it's lights were offf, but I can tell from outside its just an enormous and beautiful construction with a modern style",5,"Very nice . I've been to valencia a couple of times already and I just haven't been lucky enough to get in,one time even it's lights were offf, but I can tell from outside its just an enormous and beautiful construction with a modern style"
"50","rn461088638","TUFSU","Jacksonville, Florida","7 reviews","Great architecture!",5,2017-02-19,"This is by far the best area of contemporary arcitecture I have ever seen. I spent hours just walking through and experiencing the buildings from every angle.",5,"Great architecture!. This is by far the best area of contemporary arcitecture I have ever seen. I spent hours just walking through and experiencing the buildings from every angle."
"51","rn461070809","Rutgerth","Utrecht, Utrecht, Netherlands","102 reviews","Fantastic area",5,2017-02-19,"The eyecatcher of Valencia really. Get overwhelmed by the buildings. Bike past it or enjoy sitting around the buildings, or Just take some cheesy pictures.",6,"Fantastic area. The eyecatcher of Valencia really. Get overwhelmed by the buildings. Bike past it or enjoy sitting around the buildings, or Just take some cheesy pictures."
"52","rn461016464","Tucker101","London, United Kingdom","13 reviews","Incredible buildings!",4,2017-02-18,"A beautiful walk through the park brought us to the City of the Arts and Sciences. Beautiful architecture. The Science centre was okay, similar to any other. The dinosaurs were cool.",6,"Incredible buildings!. A beautiful walk through the park brought us to the City of the Arts and Sciences. Beautiful architecture. The Science centre was okay, similar to any other. The dinosaurs were cool."
"53","rn460935094","Robert N","","14 reviews","Tesla exhibit is superb",5,2017-02-18,"Check out the Nicholas tesla exhibit on the 2nd floor. Very well done. 95% of displays are in 3 languages.",6,"Tesla exhibit is superb. Check out the Nicholas tesla exhibit on the 2nd floor. Very well done. 95% of displays are in 3 languages."
"54","rn460834002","Riza A","","2 reviews","Amazing architecture",5,2017-02-18,"Definitely a must place to visit when u are in Valencia. It is a great spot to make plenty of good pictures!",6,"Amazing architecture. Definitely a must place to visit when u are in Valencia. It is a great spot to make plenty of good pictures!"
"55","rn460592538","peter k","Ljubljana, Slovenia","45 reviews","Architectural dream",5,2017-02-17,"Yoa can hardly find such an arhitectonical splendour in such a pleasant surrounding as this. For first impression a walk around is nice and inspirational.",6,"Architectural dream. Yoa can hardly find such an arhitectonical splendour in such a pleasant surrounding as this. For first impression a walk around is nice and inspirational."
"56","rn460502924","Parksfamily2014","Guildford, United Kingdom","54 reviews","First sight of this complex is jaw-dropping - amazing architecture and beautiful surrounds",4,2017-02-16,"Well worth a visit. The hemisphere does 3 d presentations with headsets which you can set for your language. The science museum, contrary to some of the reports I had read on here, is mainly translated (apart from really boring temporary exhibit on floor 2!!) . For just 2.5 euros you can ""visit"" the space station, go in a rocket (simulator) and land in space and return!! On the day we visited, we easily spent hours of entertainment in there (ages 11-50!) - plenty of interactive exhibits, and best of all about a tenth as crowded/squashed/busy as the London Science museum!!",6,"First sight of this complex is jaw-dropping - amazing architecture and beautiful surrounds. Well worth a visit. The hemisphere does 3 d presentations with headsets which you can set for your language. The science museum, contrary to some of the reports I had read on here, is mainly translated (apart from really boring temporary exhibit on floor 2!!) . For just 2.5 euros you can ""visit"" the space station, go in a rocket (simulator) and land in space and return!! On the day we visited, we easily spent hours of entertainment in there (ages 11-50!) - plenty of interactive exhibits, and best of all about a tenth as crowded/squashed/busy as the London Science museum!!"
"57","rn460268848","tony_in_san_jose","San Jose, California","65 reviews","Must see in the city of Valencia!",5,2017-02-16,"This fantastic collection of Calatrava works each housing a different museum or gallery. I admit that I was more interested in the architecture of the buildings than its contents. If you love Calatrava, you need to visit this place!",6,"Must see in the city of Valencia!. This fantastic collection of Calatrava works each housing a different museum or gallery. I admit that I was more interested in the architecture of the buildings than its contents. If you love Calatrava, you need to visit this place!"
